Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.6498192537975085,1.7822164159877516,15.695140361785889,24,14.754098360655737
1,0.6301450672986357,1.8989119460296817,8.121844053268433,14,11.475409836065573
2,0.6691358961550109,1.7136424138780697,16.68859887123108,25,13.114754098360656
3,0.6650029576628913,1.7502516225077973,13.620467185974121,22,11.475409836065573
5,0.6486490554479811,1.8679006016143853,9.795905351638794,18,9.836065573770492
6,0.6418763316365715,1.8067079203107541,11.304749011993408,17,14.754098360655737
7,0.6512791356763203,1.7438602258377598,17.01706624031067,24,14.754098360655737
10,0.6397300016593136,1.9319894545344016,10.343701839447021,17,18.0327868852459
12,0.6234320817617099,2.05457784768064,14.118175268173218,23,13.114754098360656
13,0.634653334635638,2.0105872541801677,12.568341732025146,20,11.475409836065573
14,0.5945662123038407,2.2504407726965545,7.994495630264282,14,16.39344262295082
15,0.6516953893035153,1.6962220810225688,10.991686820983887,16,13.114754098360656
16,0.6465440295019139,1.7061091493621618,9.746087551116943,18,13.114754098360656
17,0.6711692239681097,1.5732020099651391,10.612853765487671,19,11.475409836065573
19,0.668110997328003,1.5597825416211437,9.76857590675354,20,14.754098360655737
