Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
1,0.7788443256069029,1.7146392807244308,26.18893837928772,28,19.672131147540984
2,0.7490497554227449,1.960687771251885,22.1862690448761,19,19.672131147540984
3,0.5427288251512505,3.6002412972124027,10.515246391296387,8,14.754098360655737
7,0.6611290680800825,2.566938443361159,14.947307586669922,13,18.0327868852459
8,0.7649109566898298,1.7669757587942094,23.569563627243042,21,19.672131147540984
9,0.7627371560535959,1.769439722940571,17.53903031349182,16,18.0327868852459
10,0.7645215446552028,1.8969898138878079,18.837883234024048,18,16.39344262295082
11,0.6029971801043466,3.2226107753075723,18.315595149993896,20,19.672131147540984
13,0.7457735060433487,2.095119035955298,19.794005393981934,18,18.0327868852459
15,0.7793598635242869,1.6326352146911198,23.561882734298706,25,19.672131147540984
16,0.7829173618948246,1.593745930289838,21.0650475025177,23,19.672131147540984
17,0.796655846196596,1.481173017218446,24.34374737739563,27,16.39344262295082
18,0.7175668340391387,2.0410828738890006,18.19330620765686,20,19.672131147540984
19,0.6518302721517074,2.4963043332958583,10.939115285873413,12,16.39344262295082
